,Study_name,Respondent_Name,Gender,Age,Group,Type,Label,Start,Duration,ParentStimulus,Parent_Stimulus_Start,Parent_Stimulus_Duration,Hit_time_G,Time_spent_G,Time_spent_G_Percentage,Respondent_ratio_G,Revisit_G_Revisitors,Revisit_G_Visitors,Revisit_G_Revisits,TTFF_F,Time_spent_F,Time_spent_F_Percentage,Revisit_F_Revisitors,Revisit_F_Visitors,Revisit_F_Revisits,Fixations_Count,First_Fixation_Duration,Average_Fixations_Duration,Mouse_Clicks
0,ECG Study,Resident,MALE,0,resident,Stimulus,Normal sinus rhythm,178603,30068,,,,,,,,,,,,,,,,,,,,
1,ECG Study,Resident,MALE,0,resident,Static AOI,V5-1 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,5875.0,750.0,2.0,1.0,1.0,1.0,3.0,5814.0,150.0,1.0,1.0,1.0,5.0,9.0,17.0,17.0,0.0
2,ECG Study,Resident,MALE,0,resident,Static AOI,II-1 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,6375.0,2349.0,8.0,1.0,1.0,1.0,3.0,6064.0,1050.0,3.0,1.0,1.0,5.0,29.0,34.0,36.0,0.0
3,ECG Study,Resident,MALE,0,resident,Static AOI,V1-1 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,5625.0,467.0,2.0,1.0,1.0,1.0,3.0,5481.0,133.0,0.0,1.0,1.0,2.0,4.0,33.0,33.0,0.0
4,ECG Study,Resident,MALE,0,resident,Static AOI,1 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,875.0,1083.0,4.0,1.0,1.0,1.0,4.0,748.0,433.0,1.0,1.0,1.0,6.0,11.0,33.0,39.0,0.0
5,ECG Study,Resident,MALE,0,resident,Static AOI,aVR NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,3625.0,1533.0,5.0,1.0,1.0,1.0,2.0,3498.0,884.0,3.0,1.0,1.0,3.0,20.0,17.0,44.0,0.0
6,ECG Study,Resident,MALE,0,resident,Static AOI,V1 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,4875.0,1000.0,3.0,1.0,1.0,1.0,2.0,3864.0,383.0,1.0,1.0,1.0,5.0,13.0,17.0,29.0,0.0
7,ECG Study,Resident,MALE,0,resident,Static AOI,V4 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,16875.0,417.0,1.0,1.0,0.0,1.0,0.0,16881.0,216.0,1.0,0.0,1.0,0.0,5.0,17.0,43.0,0.0
8,ECG Study,Resident,MALE,0,resident,Static AOI,2 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,625.0,3132.0,10.0,1.0,1.0,1.0,9.0,465.0,968.0,3.0,1.0,1.0,13.0,41.0,33.0,24.0,0.0
9,ECG Study,Resident,MALE,0,resident,Static AOI,aVL NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,2625.0,2216.0,7.0,1.0,1.0,1.0,3.0,2698.0,967.0,3.0,1.0,1.0,9.0,24.0,33.0,40.0,0.0
10,ECG Study,Resident,MALE,0,resident,Static AOI,V2 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,14625.0,966.0,3.0,1.0,1.0,1.0,4.0,14697.0,200.0,1.0,1.0,1.0,7.0,9.0,17.0,22.0,0.0
11,ECG Study,Resident,MALE,0,resident,Static AOI,V5 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,16625.0,1066.0,4.0,1.0,1.0,1.0,2.0,17364.0,383.0,1.0,1.0,1.0,4.0,8.0,117.0,48.0,0.0
12,ECG Study,Resident,MALE,0,resident,Static AOI,3 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,1375.0,783.0,3.0,1.0,1.0,1.0,4.0,1331.0,300.0,1.0,1.0,1.0,7.0,13.0,17.0,23.0,0.0
13,ECG Study,Resident,MALE,0,resident,Static AOI,aVF NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,375.0,3049.0,10.0,1.0,1.0,1.0,6.0,265.0,1067.0,4.0,1.0,1.0,13.0,43.0,17.0,25.0,0.0
14,ECG Study,Resident,MALE,0,resident,Static AOI,V3 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,9375.0,1683.0,6.0,1.0,1.0,1.0,8.0,9415.0,483.0,2.0,1.0,1.0,10.0,19.0,67.0,25.0,0.0
15,ECG Study,Resident,MALE,0,resident,Static AOI,V6 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,16625.0,550.0,2.0,1.0,1.0,1.0,2.0,16597.0,200.0,1.0,1.0,1.0,4.0,6.0,50.0,33.0,0.0
