,Study_name,Respondent_Name,Gender,Age,Group,Type,Label,Start,Duration,ParentStimulus,Parent_Stimulus_Start,Parent_Stimulus_Duration,Hit_time_G,Time_spent_G,Time_spent_G_Percentage,Respondent_ratio_G,Revisit_G_Revisitors,Revisit_G_Visitors,Revisit_G_Revisits,TTFF_F,Time_spent_F,Time_spent_F_Percentage,Revisit_F_Revisitors,Revisit_F_Visitors,Revisit_F_Revisits,Fixations_Count,First_Fixation_Duration,Average_Fixations_Duration,Mouse_Clicks
0,ECG Study,Resident,MALE,0,resident,Stimulus,Normal sinus rhythm,178603,30068,,,,,,,,,,,,,,,,,,,,
1,ECG Study,Resident,MALE,0,resident,Static AOI,Short,178603,30068,Normal sinus rhythm,178603.0,30068.0,1625.0,18627.0,62.0,1.0,1.0,1.0,4.0,265.0,7250.0,24.0,1.0,1.0,41.0,229.0,17.0,32.0,0.0
2,ECG Study,Resident,MALE,0,resident,Static AOI,Long,178603,30068,Normal sinus rhythm,178603.0,30068.0,125.0,10213.0,34.0,1.0,1.0,1.0,4.0,15.0,3602.0,12.0,1.0,1.0,19.0,125.0,17.0,29.0,0.0
3,ECG Study,Resident,MALE,0,resident,Stimulus,Atrial fibrillation,309389,30054,,,,,,,,,,,,,,,,,,,,
4,ECG Study,Resident,MALE,0,resident,Static AOI,Short,309389,30054,Atrial fibrillation,309389.0,30054.0,2375.0,9811.0,33.0,1.0,1.0,1.0,2.0,285.0,4499.0,15.0,1.0,1.0,11.0,130.0,33.0,35.0,0.0
5,ECG Study,Resident,MALE,0,resident,Static AOI,Long,309389,30054,Atrial fibrillation,309389.0,30054.0,125.0,18173.0,61.0,1.0,1.0,1.0,3.0,68.0,6603.0,22.0,1.0,1.0,47.0,218.0,17.0,30.0,0.0
6,ECG Study,Resident,MALE,0,resident,Stimulus,hyperkalemia,72977,30080,,,,,,,,,,,,,,,,,,,,
7,ECG Study,Resident,MALE,0,resident,Static AOI,Short,72977,30080,hyperkalemia,72977.0,30080.0,3375.0,16954.0,56.0,1.0,1.0,1.0,5.0,39.0,8230.0,27.0,1.0,1.0,25.0,212.0,33.0,39.0,0.0
8,ECG Study,Resident,MALE,0,resident,Static AOI,Long,72977,30080,hyperkalemia,72977.0,30080.0,4375.0,11419.0,38.0,1.0,1.0,1.0,4.0,4338.0,3651.0,12.0,1.0,1.0,21.0,125.0,33.0,29.0,0.0
9,ECG Study,Resident,MALE,0,resident,Stimulus,Atrial flutter,344069,30076,,,,,,,,,,,,,,,,,,,,
10,ECG Study,Resident,MALE,0,resident,Static AOI,Short,344069,30076,Atrial flutter,344069.0,30076.0,625.0,8629.0,29.0,1.0,1.0,1.0,5.0,389.0,3684.0,12.0,1.0,1.0,18.0,106.0,17.0,35.0,0.0
11,ECG Study,Resident,MALE,0,resident,Static AOI,Long,344069,30076,Atrial flutter,344069.0,30076.0,375.0,19822.0,66.0,1.0,1.0,1.0,7.0,39.0,7500.0,25.0,1.0,1.0,41.0,246.0,17.0,30.0,0.0
12,ECG Study,Resident,MALE,0,resident,Stimulus,Ventricular tachycardia,142576,30066,,,,,,,,,,,,,,,,,,,,
13,ECG Study,Resident,MALE,0,resident,Static AOI,Short,142576,30066,Ventricular tachycardia,142576.0,30066.0,625.0,20304.0,68.0,1.0,1.0,1.0,4.0,61.0,7416.0,25.0,1.0,1.0,30.0,271.0,17.0,27.0,0.0
14,ECG Study,Resident,MALE,0,resident,Static AOI,Long,142576,30066,Ventricular tachycardia,142576.0,30066.0,8625.0,9261.0,31.0,1.0,1.0,1.0,2.0,5660.0,3283.0,11.0,1.0,1.0,16.0,123.0,17.0,27.0,0.0
15,ECG Study,Resident,MALE,0,resident,Stimulus,Wolf Parkinson White syndrome,36064,30139,,,,,,,,,,,,,,,,,,,,
16,ECG Study,Resident,MALE,0,resident,Static AOI,Short,36064,30139,Wolf Parkinson White syndrome,36064.0,30139.0,2875.0,18938.0,63.0,1.0,1.0,1.0,9.0,419.0,7913.0,26.0,1.0,1.0,33.0,231.0,17.0,34.0,0.0
17,ECG Study,Resident,MALE,0,resident,Static AOI,Long,36064,30139,Wolf Parkinson White syndrome,36064.0,30139.0,125.0,10244.0,34.0,1.0,1.0,1.0,8.0,20.0,4033.0,13.0,1.0,1.0,23.0,124.0,16.0,33.0,0.0
18,ECG Study,Resident,MALE,0,resident,Stimulus,Ventricular paced rhythm,214225,30056,,,,,,,,,,,,,,,,,,,,
19,ECG Study,Resident,MALE,0,resident,Static AOI,Short,214225,30056,Ventricular paced rhythm,214225.0,30056.0,1625.0,25381.0,84.0,1.0,1.0,1.0,2.0,333.0,11933.0,40.0,1.0,1.0,32.0,329.0,17.0,36.0,0.0
20,ECG Study,Resident,MALE,0,resident,Static AOI,Long,214225,30056,Ventricular paced rhythm,214225.0,30056.0,125.0,4450.0,15.0,1.0,1.0,1.0,4.0,83.0,1499.0,5.0,1.0,1.0,11.0,61.0,17.0,25.0,0.0
21,ECG Study,Resident,MALE,0,resident,Stimulus,Left bundle branch block,107493,30076,,,,,,,,,,,,,,,,,,,,
22,ECG Study,Resident,MALE,0,resident,Static AOI,Short,107493,30076,Left bundle branch block,107493.0,30076.0,1125.0,11658.0,39.0,1.0,1.0,1.0,4.0,281.0,3701.0,12.0,1.0,1.0,30.0,143.0,17.0,26.0,0.0
23,ECG Study,Resident,MALE,0,resident,Static AOI,Long,107493,30076,Left bundle branch block,107493.0,30076.0,125.0,17154.0,57.0,1.0,1.0,1.0,7.0,98.0,5914.0,20.0,1.0,1.0,36.0,218.0,34.0,27.0,0.0
24,ECG Study,Resident,MALE,0,resident,Stimulus,ST elevation MI,274067,30059,,,,,,,,,,,,,,,,,,,,
25,ECG Study,Resident,MALE,0,resident,Static AOI,Short,274067,30059,ST elevation MI,274067.0,30059.0,625.0,22137.0,74.0,1.0,1.0,1.0,5.0,311.0,10837.0,36.0,1.0,1.0,26.0,297.0,17.0,36.0,0.0
26,ECG Study,Resident,MALE,0,resident,Static AOI,Long,274067,30059,ST elevation MI,274067.0,30059.0,125.0,7451.0,25.0,1.0,1.0,1.0,5.0,11.0,2767.0,9.0,1.0,1.0,9.0,104.0,17.0,27.0,0.0
27,ECG Study,Resident,MALE,0,resident,Stimulus,Complete heart block,378022,30056,,,,,,,,,,,,,,,,,,,,
28,ECG Study,Resident,MALE,0,resident,Static AOI,Short,378022,30056,Complete heart block,378022.0,30056.0,2875.0,13925.0,46.0,1.0,1.0,1.0,4.0,587.0,7166.0,24.0,1.0,1.0,12.0,182.0,67.0,39.0,0.0
29,ECG Study,Resident,MALE,0,resident,Static AOI,Long,378022,30056,Complete heart block,378022.0,30056.0,125.0,15791.0,53.0,1.0,1.0,1.0,3.0,21.0,5981.0,20.0,1.0,1.0,29.0,218.0,16.0,27.0,0.0
30,ECG Study,Fellow 10,MALE,30,Fellow,Stimulus,Normal sinus rhythm,345625,30166,,,,,,,,,,,,,,,,,,,,
31,ECG Study,Fellow 10,MALE,30,Fellow,Static AOI,Short,345625,30166,Normal sinus rhythm,345625.0,30166.0,125.0,22875.0,76.0,1.0,1.0,1.0,10.0,24.0,11735.0,39.0,1.0,1.0,22.0,306.0,84.0,38.0,0.0
32,ECG Study,Fellow 10,MALE,30,Fellow,Static AOI,Long,345625,30166,Normal sinus rhythm,345625.0,30166.0,10125.0,6031.0,20.0,1.0,1.0,1.0,4.0,10029.0,2348.0,8.0,1.0,1.0,10.0,78.0,34.0,30.0,0.0
33,ECG Study,Fellow 10,MALE,30,Fellow,Stimulus,Atrial fibrillation,200129,30154,,,,,,,,,,,,,,,,,,,,
34,ECG Study,Fellow 10,MALE,30,Fellow,Static AOI,Short,200129,30154,Atrial fibrillation,200129.0,30154.0,125.0,17087.0,57.0,1.0,1.0,1.0,3.0,19.0,7672.0,25.0,1.0,1.0,23.0,218.0,33.0,35.0,0.0
35,ECG Study,Fellow 10,MALE,30,Fellow,Static AOI,Long,200129,30154,Atrial fibrillation,200129.0,30154.0,2375.0,12820.0,43.0,1.0,1.0,1.0,2.0,1736.0,6253.0,21.0,1.0,1.0,9.0,182.0,17.0,34.0,0.0
36,ECG Study,Fellow 10,MALE,30,Fellow,Stimulus,hyperkalemia,308605,30131,,,,,,,,,,,,,,,,,,,,
